iter	Passed	Remaining
406	6232	24394
407	6248	24381
408	6263	24364
409	6278	24348
410	6297	24348
411	6313	24332
412	6327	24313
413	6342	24298
414	6356	24276
415	6370	24255
416	6384	24237
417	6398	24217
418	6412	24197
419	6427	24178
420	6443	24167
421	6458	24151
422	6473	24134
423	6488	24118
424	6505	24107
425	6520	24090
426	6534	24072
427	6550	24059
428	6566	24046
429	6580	24026
430	6594	24007
431	6609	23989
432	6624	23974
433	6638	23954
434	6655	23945
435	6669	23925
436	6683	23904
437	6696	23881
438	6711	23863
439	6726	23848
440	6742	23834
441	6757	23818
442	6772	23802
443	6786	23784
444	6801	23766
445	6816	23749
446	6830	23732
447	6845	23715
448	6862	23705
449	6877	23690
450	6892	23673
451	6909	23663
452	6923	23644
453	6938	23627
454	6952	23606
455	6966	23589
456	6981	23571
457	6998	23562
458	7012	23543
459	7027	23527
460	7043	23513
461	7058	23498
462	7074	23484
463	7089	23468
464	7104	23451
465	7118	23434
466	7133	23415
467	7148	23401
468	7162	23382
469	7176	23362
470	7191	23346
471	7207	23331
472	7223	23319
473	7239	23307
474	7253	23288
475	7268	23271
476	7285	23262
477	7300	23245
478	7318	23240
479	7332	23220
480	7349	23211
481	7364	23192
482	7378	23175
483	7393	23158
484	7407	23140
485	7422	23123
486	7437	23105
487	7451	23088
488	7472	23088
489	7492	23089
490	7507	23072
491	7521	23055
492	7536	23037
493	7551	23022
494	7566	23006
495	7581	22989
496	7599	22980
497	7613	22963
498	7628	22946
499	7642	22928
500	7657	22911
501	7672	22895
502	7687	22879
503	7706	22873
504	7719	22852
505	7732	22830
506	7746	22813
507	7761	22796
508	7776	22779
509	7791	22763
510	7804	22741
511	7819	22724
512	7834	22709
513	7849	22694
514	7864	22677
515	7881	22666
516	7897	22653
517	7912	22637
518	7926	22619
519	7944	22610
520	7960	22596
521	7974	22578
522	7988	22559
523	8001	22539
524	8016	22522
525	8033	22512
526	8048	22495
527	8062	22476
528	8079	22465
529	8094	22450
530	8112	22443
531	8128	22429
532	8145	22418
533	8160	22403
534	8175	22388
535	8189	22368
536	8204	22353
537	8219	22335
538	8236	22324
539	8251	22309
540	8269	22301
541	8284	22285
542	8302	22276
543	8319	22265
544	8333	22248
545	8347	22230
546	8368	22229
547	8393	22240
548	8414	22238
549	8428	22220
550	8443	22203
551	8460	22192
552	8474	22175
553	8490	22159
554	8505	22144
555	8520	22129
556	8536	22115
557	8551	22099
558	8565	22079
559	8580	22062
560	8596	22051
561	8610	22032
562	8625	22016
563	8643	22007
564	8658	21991
565	8673	21974
566	8687	21957
567	8702	21941
568	8717	21924
569	8734	21912
570	8752	21903
571	8765	21883
572	8780	21866
573	8794	21849
574	8809	21832
575	8824	21816
576	8839	21798
577	8854	21782
578	8867	21763
579	8882	21746
580	8898	21733
581	8912	21714
582	8930	21706
583	8952	21705
584	8973	21704
585	8988	21688
586	9004	21676
587	9019	21659
588	9035	21644
589	9051	21631
590	9066	21616
591	9083	21603
592	9097	21586
593	9112	21570
594	9130	21560
595	9147	21549
596	9163	21536
597	9179	21521
598	9193	21502
599	9207	21484
600	9223	21470
601	9238	21454
602	9254	21440
603	9269	21423
604	9283	21406
605	9298	21389
606	9313	21372
607	9329	21360
608	9345	21344
609	9361	21332
610	9377	21316
611	9392	21301
612	9407	21284
613	9422	21270
614	9437	21253
615	9452	21237
616	9467	21220
617	9482	21204
618	9496	21187
619	9513	21175
620	9527	21157
621	9542	21140
622	9557	21123
623	9572	21108
624	9591	21100
625	9606	21085
626	9621	21068
627	9637	21054
628	9653	21041
629	9668	21024
630	9684	21012
631	9701	20998
632	9718	20986
633	9731	20967
634	9746	20951
635	9763	20938
636	9777	20920
